epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.6442,1.15294,2.51521,1.59406,0.52001,0.53578,0.45352,0.2078,1.02831,77.0225,1.595,0.000474118,0.000474118,0.000474118
2,129.076,1.26803,1.87719,1.6596,0.56387,0.54122,0.54561,0.26391,1.05887,10.4424,1.67251,0.000912813,0.000912813,0.000912813
3,178.741,1.32536,1.66182,1.70241,0.55833,0.53998,0.52353,0.28859,1.02997,9.7383,1.56479,0.00131378,0.00131378,0.00131378
4,227.976,1.32075,1.58092,1.71284,0.44852,0.55016,0.41244,0.20174,1.16698,13.9631,1.53168,0.00125923,0.00125923,0.00125923
5,278.123,1.24543,1.4112,1.64084,0.59561,0.63613,0.65319,0.3747,0.95469,12.7933,1.4493,0.00120265,0.00120265,0.00120265
6,327.253,1.21545,1.35824,1.6151,0.71721,0.70892,0.75662,0.47418,0.84246,5.26187,1.299,0.00114606,0.00114606,0.00114606
7,377.112,1.18075,1.25685,1.57952,0.74045,0.74164,0.76081,0.49479,0.82393,16.5994,1.30517,0.00108947,0.00108947,0.00108947
8,426.746,1.15732,1.22565,1.57225,0.74426,0.72787,0.76748,0.49917,0.83679,8.03209,1.257,0.00103288,0.00103288,0.00103288
9,476.348,1.1345,1.18574,1.55256,0.62503,0.64496,0.64998,0.42898,0.7899,14.8504,1.24335,0.000976293,0.000976293,0.000976293
10,525.78,1.117,1.14399,1.53469,0.78517,0.76292,0.81209,0.56406,0.74355,14.0806,1.18412,0.000919704,0.000919704,0.000919704
11,575.168,1.10972,1.0934,1.51963,0.78518,0.7271,0.79355,0.53579,0.77638,10.6328,1.2311,0.000863116,0.000863116,0.000863116
12,624.307,1.07777,1.06876,1.50233,0.81677,0.78672,0.83346,0.58332,0.725,8.48734,1.16504,0.000806528,0.000806528,0.000806528
13,673.397,1.08165,1.07503,1.50067,0.79944,0.81327,0.83979,0.57607,0.74981,14.621,1.197,0.000749939,0.000749939,0.000749939
14,722.672,1.05217,1.04097,1.48543,0.80541,0.79395,0.84311,0.59553,0.70664,10.8555,1.12263,0.000693351,0.000693351,0.000693351
15,771.875,1.05897,0.9817,1.48337,0.81618,0.8025,0.87126,0.61927,0.6859,7.98689,1.1067,0.000636762,0.000636762,0.000636762
16,822.703,0.96366,0.85906,1.59728,0.8233,0.82501,0.87054,0.63145,0.68155,14.2173,1.10679,0.000580174,0.000580174,0.000580174
17,871.166,0.95388,0.80357,1.56978,0.8229,0.83985,0.88325,0.64116,0.67268,4.67322,1.09472,0.000523586,0.000523586,0.000523586
18,919.829,0.92796,0.77407,1.55848,0.86607,0.84706,0.89374,0.66012,0.65449,8.01886,1.06612,0.000466997,0.000466997,0.000466997
19,968.088,0.9087,0.76084,1.53118,0.84587,0.87122,0.89451,0.66069,0.64046,5.49165,1.05885,0.000410409,0.000410409,0.000410409
20,1016.62,0.8879,0.73428,1.51481,0.87292,0.8705,0.91616,0.67663,0.63506,6.46159,1.05034,0.00035382,0.00035382,0.00035382
21,1065.14,0.87238,0.68723,1.50828,0.88539,0.86305,0.91521,0.68443,0.62124,7.20814,1.02905,0.000297232,0.000297232,0.000297232
22,1113.49,0.85621,0.66135,1.48695,0.88135,0.88045,0.92243,0.6897,0.62849,11.134,1.03152,0.000240644,0.000240644,0.000240644
23,1162.14,0.84274,0.63245,1.46337,0.89262,0.88254,0.92898,0.69229,0.62021,7.97324,1.0239,0.000184055,0.000184055,0.000184055
24,1210.61,0.83397,0.61792,1.45462,0.88934,0.88327,0.92471,0.70393,0.59459,8.11714,0.99957,0.000127467,0.000127467,0.000127467
25,1259.1,0.81005,0.59851,1.44121,0.89713,0.88468,0.93058,0.7079,0.58913,6.17083,0.98991,7.08784e-05,7.08784e-05,7.08784e-05
